experiment_id,date_max,n_repet,random_state,extra_sufixo_mark,fi_cut,n_fib,corte_fib,n_fib_menor,md_center_f_i,mf_center_f_i,mss_center_f_i,msl_center_f_i,md_center_p_i,mf_center_p_i,mss_center_p_i,msl_center_p_i,tscv,n_iter_t_filter,n_iter_t_pred,amp,metricas
2947734d-32ca-4e06-8115-d9610ba98805,2026-01-01,5,1,_fev_26,0.8,20,2,9,6,7,4,0,8,1,5,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  49.7     51.1 -1.1   -1.3  0.6  02~mes  817800_15~geo  31042090~prdt"
1369454e-6014-476e-af45-151ba3aae93b,2026-01-01,5,1,_fev_26,0.8,20,2,9,9,2,4,1,5,2,1,3,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  107.0    115.2 -0.4   -0.6  1.0  08~mes  817800_15~geo  31042090~prdt"
85692fda-ca98-4fee-b7fe-d4714f1b749a,2026-01-01 00:00:00,5,1,_fev_26,0.8,20,2,9,2,6,1,0,8,1,5,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  43.7     51.1 -0.7   -1.3  1.0  02~mes  817800_15~geo  31042090~prdt"
74076fbe-b7a9-4fe8-bfba-d720dc3764ee,2026-01-01 00:00:00,5,1,_fev_26,0.8,20,2,9,1,2,1,5,8,1,1,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"   rmse  rmse_lr   r2  r2_lr  acc  CO_MES         CO_GEO        CO_PRDT
0  94.4    115.2 -0.1   -0.6  1.0  08~mes  817800_15~geo  31042090~prdt"
